ltp,ltd
0.0,1.0
0.0013501508704697092,0.9707981546719868
0.0018565576368321974,0.9415963093439738
0.001974986245234807,0.9123944838841755
0.0012919624374868968,0.8831927975018818
0.0010445269290357828,0.8530456225077311
0.0007781496193880836,0.8155987064043679
0.0006762435271715124,0.7708519299825032
0.0005684352072421461,0.7197509407997131
0.0004987701831851155,0.6702249248822529
0.0004811001805743823,0.6280010938644409
0.0005283329907494286,0.5930794477462769
0.0005951880011707544,0.5638850331306458
0.0006248698142978052,0.5346906185150146
0.0006258721114136279,0.5086337526639302
0.0006380186532624066,0.49230835835138953
0.0007285708949590722,0.4857144355773926
0.0009339557533773282,0.4811950623989105
0.0011564080292979875,0.46499604980150855
0.0013545395340770483,0.44088338812192274
0.0014887996949255466,0.41837031642595923
0.0016171352084105213,0.40526125828425086
0.0017095034321149187,0.3985082308451334
0.010897392019008596,0.39311736822128296
0.045800377731211483,0.3884446819623311
0.10442683349053064,0.3837719957033793
0.17536839097738266,0.37717706958452857
0.23836793502171832,0.36727509895960486
0.2950251301129659,0.35649222135543823
0.3476114769776662,0.34821560978889465
0.39982287089029944,0.345128466685613
0.4521770675977071,0.34545310338338214
0.504674067099889,0.3459284206231435
0.5571315884590149,0.34452196955680847
0.6091901262601216,0.34058547019958496
0.6608496904373169,0.3359152575333913
0.711660901705424,0.3312450548013051
0.759779155254364,0.3250649770100911
0.805204431215922,0.3170338670412699
0.8537393808364868,0.3071517248948415
0.8976254065831502,0.2969285945097605
0.9312269091606139,0.28907954692840576
0.949314534664154,0.28385968009630835
0.9613316853841145,0.28126882513364154
0.9726582566897074,0.2789328992366791
0.9832942883173623,0.27655714750289917
0.9919367432594298,0.27041688561439514
0.9973122080167134,0.2605121086041132
0.999420662720998,0.2472057888905207
0.9997155268987019,0.23816457390785215
0.9938425421714783,0.23338830471038818
0.9818017085393269,0.23255398869514465
0.9721343517303467,0.2317196726799011
0.9387923280398051,0.23088535169760385
0.8798907001813252,0.23005103071530658
0.7544897198677063,0.22869199514389038
0.6215499540170033,0.22501586874326068
0.4911053478717804,0.2190226465463638
0.38752890626589453,0.21170839170614877
0.27740442752838135,0.20601635177930194
0.15440258694191775,0.2020111232995987
0.06105835596099495,0.1993510474761327
0.011420650252451498,0.1968854268391927
0.003706431637207667,0.19454949597517648
0.0036961915902793403,0.19221373399098712
0.0037529262869308386,0.18993496894836426
0.003835066454485059,0.18778589367866513
0.003935018787160516,0.1857663442691167
0.0039290589435646926,0.18316293756167093
0.00384617472688357,0.17926179369290668
0.003707037850593527,0.1740630765755971
0.0036276358490188914,0.1685934066772461
0.003545492654666304,0.1637728561957677
0.0034465957432985306,0.15960117677847543
0.0033507393673062325,0.15570837755997974
0.003236292240520318,0.15181549390157062
0.0031645971660812693,0.1479226897160212
0.003087460218618313,0.14833728969097137
0.0029861590204139548,0.15491635104020435
0.0028009989764541388,0.16765963037808734
0.0026360719154278436,0.18225988745689392
0.0025479015118132033,0.1930399586757024
0.0025113353816171484,0.1989533851544062
0.0025073456733177104,0.20000000298023224
0.0025789223921795683,0.20206812520821887
0.0027342636603862047,0.20656965176264444
0.002905753906816244,0.213504413763682
0.0029615994232396283,0.22080429395039874
0.0030235050556560355,0.20153746008872986
0.002965360026185711,0.15388666838407516
0.002598641867128511,0.07785199830929437
0.0018123137997463346,0.0
